refArea,Indicator Code,Value,Observation URI,references,publisher,dataset,refPeriod,Value (Millions),IndicatorDescription,Year
http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,10744320000.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2002,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2002,"10,744","Imports of goods, services and primary income (BoP, current US$)",2002
http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,18129460000.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2003,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2003,"18,129","Imports of goods, services and primary income (BoP, current US$)",2003
http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,19014600000.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2004,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2004,"19,015","Imports of goods, services and primary income (BoP, current US$)",2004
http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,18768320000.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2005,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2005,"18,768","Imports of goods, services and primary income (BoP, current US$)",2005
http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,20011590000.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2006,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2006,"20,012","Imports of goods, services and primary income (BoP, current US$)",2006
http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,23818920000.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2007,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2007,"23,819","Imports of goods, services and primary income (BoP, current US$)",2007
http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,31275510000.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2008,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2008,"31,276","Imports of goods, services and primary income (BoP, current US$)",2008
http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,31705350000.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2009,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2009,"31,705","Imports of goods, services and primary income (BoP, current US$)",2009
http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,32178700000.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2010,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2010,"32,179","Imports of goods, services and primary income (BoP, current US$)",2010
http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,32895860000.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2011,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2011,"32,896","Imports of goods, services and primary income (BoP, current US$)",2011
